Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,8.245469,8.622664,7.791335,7.918319,7.918319,2359041
2021-02-17,7.918301,7.943307,7.137741,7.413526,7.413526,2781266
2021-02-18,7.404743,17.159315,7.233365,13.802218,13.802218,133621608
2021-02-19,13.733507,16.413363,10.099636,10.975802,10.975802,58208851
2021-02-20,10.954172,11.266831,9.041258,9.776510,9.776510,29774176
2021-02-21,9.778968,11.783142,9.303057,10.122967,10.122967,22469345
2021-02-22,10.160594,10.673609,8.602612,9.341432,9.341432,14198581
2021-02-23,9.346368,9.550724,6.300424,7.516033,7.516033,12903836
2021-02-24,7.520480,8.162533,7.210912,7.498424,7.498424,7971001
2021-02-25,7.500015,7.903555,6.779871,6.806626,6.806626,8214016
2021-02-26,6.805246,6.807026,5.900774,6.040438,6.040438,4895934
2021-02-27,6.082946,8.833280,6.082946,7.837440,7.837440,7982272
2021-02-28,7.826318,8.061705,6.833270,7.824224,7.824224,14036035
2021-03-01,7.814311,8.664526,7.786254,8.280080,8.280080,10188595
2021-03-02,8.282859,8.423500,7.314685,7.486696,7.486696,8076826
2021-03-03,7.487300,7.980931,7.297315,7.642513,7.642513,6834790
2021-03-04,7.623481,7.851757,6.651140,6.704243,6.704243,8162160
2021-03-05,6.715553,6.831293,6.272116,6.651178,6.651178,2033172
2021-03-06,6.716369,6.774599,6.476386,6.573137,6.573137,4061965
2021-03-07,6.573787,7.607190,6.529357,7.296766,7.296766,8578495
2021-03-08,7.297661,7.378957,6.806884,7.254127,7.254127,6165686
2021-03-09,7.256279,9.490213,7.094794,9.088006,9.088006,16964148
2021-03-10,9.084207,9.503681,8.208504,8.208504,8.208504,12215475
2021-03-11,8.236415,10.435994,8.232277,10.217023,10.217023,16209180
2021-03-12,10.286409,12.182023,9.859067,11.905517,11.905517,26510470
2021-03-13,11.921557,15.400613,11.921557,13.429184,13.429184,21912409
2021-03-14,13.522787,15.111819,12.757253,14.344204,14.344204,13491249
2021-03-15,14.441251,15.262445,13.605248,14.229822,14.229822,12326403
2021-03-16,14.255822,14.314261,10.691724,11.468382,11.468382,23398886
2021-03-17,11.500392,12.123387,9.939006,11.155700,11.155700,20139160
2021-03-18,11.161959,11.871493,9.949326,9.949326,9.949326,9376782
2021-03-19,9.977773,11.272168,9.626914,10.947079,10.947079,12842226
2021-03-20,10.947719,11.375821,10.529111,10.637634,10.637634,6327184
2021-03-21,10.638415,10.657831,9.370637,9.423582,9.423582,9430091
2021-03-22,9.398252,9.505606,8.401578,8.410525,8.410525,9668050
2021-03-23,8.409322,8.418304,7.665633,7.991431,7.991431,11222864
2021-03-24,7.984928,8.932314,7.793501,7.865109,7.865109,10614187
2021-03-25,7.867378,7.896145,7.389650,7.721645,7.721645,6371663
2021-03-26,7.751134,8.544462,7.751134,8.518179,8.518179,7976474
2021-03-27,8.531301,9.434157,8.289898,9.005784,9.005784,12380001
2021-03-28,9.004525,9.425820,8.143827,8.256978,8.256978,7424679
2021-03-29,8.251088,8.963593,8.053838,8.958741,8.958741,8074808
2021-03-30,8.973977,9.941617,8.955134,9.556438,9.556438,12125473
2021-03-31,9.566450,10.103544,9.217405,9.260180,9.260180,10099847
2021-04-01,9.280501,9.463587,8.674190,8.735973,8.735973,6408843
2021-04-02,8.726530,8.785825,8.432145,8.696971,8.696971,6806202
2021-04-03,8.730237,8.828712,8.037384,8.037384,8.037384,4514345
2021-04-04,8.044855,8.649950,7.811022,8.610998,8.610998,6144407
2021-04-05,8.597808,9.407508,8.266615,9.138336,9.138336,10713379
2021-04-06,9.138104,9.138104,8.299491,8.375338,8.375338,7892582
2021-04-07,8.367740,8.611967,7.558122,7.795352,7.795352,9162643
2021-04-08,7.815505,8.247940,7.690462,8.097919,8.097919,7020437
2021-04-09,8.097537,8.574419,7.972461,8.314571,8.314571,7432733
2021-04-10,8.315284,8.450818,7.941078,8.005462,8.005462,7230964
2021-04-11,8.006817,8.061386,7.746497,7.902380,7.902380,5535528
2021-04-12,7.877517,7.937591,7.277666,7.346438,7.346438,8454010
2021-04-13,7.359127,7.431928,6.869930,7.240435,7.240435,7715766
2021-04-14,7.228217,7.267146,6.905299,6.969883,6.969883,4819510
2021-04-15,6.970987,7.244120,6.818326,7.240430,7.240430,7589439
2021-04-16,7.242774,7.545909,6.848193,6.992459,6.992459,6550746
2021-04-17,6.990708,7.340894,6.876109,7.204613,7.204613,5595126
2021-04-18,7.203202,7.246347,5.520400,5.847613,5.847613,12440342
2021-04-19,5.837615,5.975297,4.993957,5.109413,5.109413,10473596
2021-04-20,5.102640,5.245124,4.681326,5.133228,5.133228,6246822
2021-04-21,5.135336,6.389220,5.075810,6.038060,6.038060,12720057
2021-04-22,6.054355,6.180571,5.336173,5.376973,5.376973,8533514
2021-04-23,5.373024,5.388990,4.640792,5.203442,5.203442,8736647
2021-04-24,5.212219,5.212219,4.641461,4.689403,4.689403,3741926
2021-04-25,4.685880,4.947452,4.559670,4.767041,4.767041,3641907
2021-04-26,4.739293,5.404976,4.738019,5.220742,5.220742,6065827
2021-04-27,5.221116,5.928387,5.221116,5.847083,5.847083,7232229
2021-04-28,5.860681,6.221165,5.427165,5.559721,5.559721,8573151
2021-04-29,5.559905,6.869490,5.392689,6.869490,6.869490,17450392
2021-04-30,6.867727,7.198847,6.370092,6.637789,6.637789,13843721
2021-05-01,6.656601,6.906467,6.321606,6.401582,6.401582,5457103
2021-05-02,6.394268,6.531758,6.144379,6.199501,6.199501,5476269
2021-05-03,6.193503,7.522215,6.174343,7.318666,7.318666,17223578
2021-05-04,7.319537,7.482355,6.546046,7.192452,7.192452,16122506
2021-05-05,7.200486,7.503859,7.141128,7.284670,7.284670,10262793
2021-05-06,7.279515,7.313291,6.364357,6.521516,6.521516,7955208
2021-05-07,6.523371,6.534582,6.234253,6.367046,6.367046,4717847
2021-05-08,6.371705,6.489314,6.143448,6.400225,6.400225,4587720
2021-05-09,6.428996,6.440225,5.921997,5.928240,5.928240,4169357
2021-05-10,5.926679,6.008386,5.301341,5.407346,5.407346,5312435
2021-05-11,5.395046,5.529701,5.235453,5.504431,5.504431,3778363
2021-05-12,5.514870,5.707701,5.087520,5.087520,5.087520,4161960
2021-05-13,5.103812,5.208891,4.772062,4.836621,4.836621,5435834
2021-05-14,4.834957,5.142637,4.695042,5.139774,5.139774,5606709
2021-05-15,5.139293,5.231588,4.686191,4.737351,4.737351,3662449
2021-05-16,4.736940,4.888460,4.342657,4.491034,4.491034,4275789
2021-05-17,4.496579,4.500241,3.918739,3.980541,3.980541,4407602
2021-05-18,3.981790,4.139126,3.956030,4.015750,4.015750,3597679
2021-05-19,4.013886,4.080210,2.544040,3.318969,3.318969,7447057
2021-05-20,3.289400,3.383442,2.971195,3.173897,3.173897,4305578
2021-05-21,3.189439,3.381755,2.616206,2.778387,2.778387,5619221
2021-05-22,2.780631,2.799710,2.596844,2.637694,2.637694,2641690
2021-05-23,2.637716,2.689196,1.738830,1.996769,1.996769,5872581
2021-05-24,2.003085,2.293988,1.968290,2.261897,2.261897,4423940
2021-05-25,2.260537,2.303409,2.020714,2.120064,2.120064,2918664
2021-05-26,2.120727,2.577915,2.086277,2.481787,2.481787,10145739
2021-05-27,2.478232,2.585113,2.354405,2.385740,2.385740,5564508
2021-05-28,2.374817,2.416692,2.098276,2.145538,2.145538,3027417
2021-05-29,2.145650,2.594061,2.144686,2.558655,2.558655,7734605
2021-05-30,2.546825,2.779577,2.450022,2.626814,2.626814,5081122
2021-05-31,2.626960,2.709049,2.498409,2.698526,2.698526,3070935
2021-06-01,2.698501,2.749217,2.458922,2.526921,2.526921,2829767
2021-06-02,2.526674,2.640338,2.499901,2.627371,2.627371,1986963
2021-06-03,2.625775,2.749220,2.623200,2.699227,2.699227,2170101
2021-06-04,2.698927,2.701569,2.524777,2.552445,2.552445,2313700
2021-06-05,2.552262,2.609597,2.504326,2.607284,2.607284,1516802
2021-06-06,2.611728,2.723584,2.592935,2.688163,2.688163,2414161
2021-06-07,2.688132,2.688132,2.349750,2.352797,2.352797,3770321
