date,price,symbol
12/31/2021,1.005132532,FRAX
1/1/2022,1.00513858,FRAX
1/2/2022,1.002764113,FRAX
1/3/2022,1.002340281,FRAX
1/4/2022,0.997228033,FRAX
1/5/2022,1.00255978,FRAX
1/6/2022,0.999196587,FRAX
1/7/2022,1.001151692,FRAX
1/8/2022,0.997862755,FRAX
1/9/2022,0.999863151,FRAX
1/10/2022,0.999860235,FRAX
1/11/2022,1.000058748,FRAX
1/12/2022,0.998625474,FRAX
1/13/2022,0.994463665,FRAX
1/14/2022,0.993313215,FRAX
1/15/2022,1.000054645,FRAX
1/16/2022,1.002326405,FRAX
1/17/2022,1.000289653,FRAX
1/18/2022,0.997714393,FRAX
1/19/2022,0.998032838,FRAX
1/20/2022,0.994695479,FRAX
1/21/2022,0.99804029,FRAX
1/22/2022,1.000650201,FRAX
1/23/2022,1.003269795,FRAX
1/24/2022,1.014055311,FRAX
1/25/2022,1.003631681,FRAX
1/26/2022,1.003196767,FRAX
1/27/2022,0.99953641,FRAX
1/28/2022,1.000359023,FRAX
1/29/2022,1.000425673,FRAX
1/30/2022,0.99818047,FRAX
1/31/2022,0.997078647,FRAX
2/1/2022,1.001460072,FRAX
2/2/2022,1.00067739,FRAX
2/3/2022,1.000233187,FRAX
2/4/2022,1.00685484,FRAX
2/5/2022,0.998222911,FRAX
2/6/2022,1.003112163,FRAX
2/7/2022,1.003556413,FRAX
2/8/2022,1.003678849,FRAX
2/9/2022,0.999957258,FRAX
2/10/2022,0.996889064,FRAX
2/11/2022,0.997728394,FRAX
2/12/2022,0.998038112,FRAX
2/13/2022,1.005477464,FRAX
2/14/2022,1.003517095,FRAX
2/15/2022,1.004715833,FRAX
2/16/2022,1.002926926,FRAX
2/17/2022,1.004603733,FRAX
2/18/2022,1.002966426,FRAX
2/19/2022,0.995481018,FRAX
2/20/2022,0.997172138,FRAX
2/21/2022,0.996418805,FRAX
2/22/2022,1.002027621,FRAX
2/23/2022,0.999904055,FRAX
2/24/2022,1.001028416,FRAX
2/25/2022,0.999539519,FRAX
2/26/2022,1.000140958,FRAX
2/27/2022,0.999226666,FRAX
2/28/2022,1.000926533,FRAX
3/1/2022,1.000699262,FRAX
3/2/2022,0.998408284,FRAX
3/3/2022,0.998481631,FRAX
3/4/2022,0.998750117,FRAX
3/5/2022,0.999982256,FRAX
3/6/2022,0.999473167,FRAX
3/7/2022,0.998887015,FRAX
3/8/2022,0.99962839,FRAX
3/9/2022,1.000973941,FRAX
3/10/2022,0.999766762,FRAX
3/11/2022,1.000277321,FRAX
3/12/2022,0.998800601,FRAX
