block_id,block
665,052XX W ADDISON ST
666,034XX N HAMLIN AVE
667,040XX W GRENSHAW ST
668,028XX S PULASKI RD
669,133XX S BUFFALO AVE
670,036XX W PALMER ST
671,010XX W ADDISON ST
672,031XX W POLK ST
673,007XX N CHRISTIANA AVE
674,030XX S KEELER AVE
675,012XX N ASHLAND AVE
676,096XX S GREENWOOD AVE
677,040XX S LAKE PARK AVE
678,074XX S KINGSTON AVE
679,026XX N MILWAUKEE AVE
680,078XX S MUSKEGON AVE
681,032XX N MILWAUKEE AVE
682,067XX S PULASKI RD
683,022XX N CANNON DR
684,007XX W 81ST PL
685,025XX W 58TH ST
686,033XX W LAWRENCE AVE
687,047XX N KILBOURN AVE
688,012XX N LA SALLE DR
689,042XX W VAN BUREN ST
690,001XX N HARBOR DR
691,033XX W 64TH PL
692,100XX S AVENUE M
693,073XX S INDIANA AVE
694,003XX W NORTH AVE
695,030XX E 92ND ST
696,044XX N MOZART ST
697,075XX N PAULINA ST
698,105XX S LAFAYETTE AVE
699,022XX S HAMLIN AVE
700,065XX S LOWE AVE
701,046XX N KENNETH AVE
702,049XX W HENDERSON ST
703,041XX W ARMITAGE AVE
704,059XX N KENMORE AVE
705,068XX S TALMAN AVE
706,021XX N HAMLIN AVE
707,028XX S TRUMBULL AVE
708,056XX S HAMILTON AVE
709,026XX W 51ST ST
710,056XX S TRIPP AVE
711,002XX S BELL AVE
712,046XX S KEATING AVE
713,128XX S EMERALD AVE
714,042XX W MADISON ST
715,030XX N ASHLAND AVE
716,064XX S DAMEN AVE
717,083XX S ELLIS AVE
718,039XX N SAYRE AVE
719,052XX N LINCOLN AVE
720,103XX S WOOD ST
721,015XX S AVERS AVE
722,022XX N ROCKWELL ST
723,011XX N MONTICELLO AVE
724,010XX N KILBOURN AVE
725,048XX W WOLFRAM ST
726,080XX S MARYLAND AVE
727,022XX N LAVERGNE AVE
728,032XX N HAMLIN AVE
729,013XX S MORGAN ST
730,045XX W WRIGHTWOOD AVE
731,021XX W GARFIELD BLVD
732,047XX N KEYSTONE AVE
733,037XX N SPRINGFIELD AVE
734,063XX S MAPLEWOOD AVE
735,048XX N CENTRAL AVE
736,028XX E 81ST ST
737,064XX S NEW ENGLAND AVE
738,042XX N OAK PARK AVE
739,009XX W OAKDALE AVE
740,085XX S MACKINAW AVE
741,006XX N LOREL AVE
742,028XX N BROADWAY
743,063XX S WESTERN AVE
744,012XX S TRIPP AVE
745,001XX W ROOSEVELT RD
746,002XX W 24TH ST
747,068XX S SOUTH SHORE DR
748,024XX W ALBION AVE
749,059XX W FULTON ST
750,064XX S JUSTINE ST
751,054XX W VAN BUREN ST
752,055XX S UNION AVE
753,017XX W 75TH PL
754,036XX S WOLCOTT AVE
755,014XX E 74TH ST
756,055XX S ALBANY AVE
757,076XX S LANGLEY AVE
758,060XX W BLOOMINGDALE AVE
759,037XX W 78TH ST
760,040XX W 81ST PL
761,013XX S BLUE ISLAND AVE
762,021XX N MONITOR AVE
763,050XX W VAN BUREN ST
764,012XX W OHIO ST
765,053XX W WASHINGTON BLVD
766,073XX S PERRY AVE
767,102XX S CRANDON AVE
768,028XX W TOUHY AVE
769,024XX N PARKSIDE AVE
770,043XX N SACRAMENTO AVE
771,049XX W FLETCHER ST
772,065XX W DIVERSEY AVE
773,033XX W POTOMAC AVE
774,017XX E 95TH ST
775,107XX S AVENUE M
776,016XX W 38TH ST
777,050XX W WABANSIA AVE
778,110XX S EWING AVE
779,056XX W PATTERSON AVE
780,032XX W CORTEZ ST
781,010XX N PARKSIDE AVE
782,009XX S MAYFIELD AVE
783,054XX W ADAMS ST
784,048XX W BARRY AVE
785,094XX S SANGAMON ST
786,045XX S VINCENNES AVE
