rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
"		4393							",https://boardgamegeek.com/boardgame/2179/musketeers,2179,Musketeers,2,4,40,20,40,1991,6.05096,5.65833,365,//cf.geekdo-images.com/images/pic1090191.jpg,8,"Auction/Bidding, Hand Management, Simultaneous Action Selection",901,"Bluffing, Card Game",Franz Josef Lamminger,1.1154
"		4394							",https://boardgamegeek.com/boardgame/95386/tem-purr,95386,Tem-Purr-A,3,10,15,15,15,2011,6.12291,5.65832,337,//cf.geekdo-images.com/images/pic2776998.jpg,8,"Hand Management, Memory",802,"Card Game, Party Game",Kuraki Mura,1.2105
"		4395							",https://boardgamegeek.com/boardgame/22029/i-aint-been-shot-mum,22029,"I Ain't Been Shot, Mum",2,6,120,120,120,2002,7.8075,5.65796,80,//cf.geekdo-images.com/images/pic1129138.jpg,12,"Roll / Spin and Move, Simulation, Variable Phase Order",148,"Miniatures, Wargame, World War II","Richard Clarke, Nick Skinner",2.9412
"		4396							",https://boardgamegeek.com/boardgame/130499/stones-fate,130499,Stones of Fate,2,4,30,20,30,2015,6.81154,5.6586,182,//cf.geekdo-images.com/images/pic2292312.png,12,"Area Control / Area Influence, Auction/Bidding, Memory, Pattern Recognition, Set Collection",407,"Bluffing, Card Game, Memory, Mythology, Renaissance",Luke Laurie,1.6667
"		4397							",https://boardgamegeek.com/boardgame/23757/nhl-ice-breaker-card-hockey-board-game,23757,NHL Ice Breaker: The Card Hockey Board Game,1,4,25,25,25,2006,6.30967,5.66089,248,//cf.geekdo-images.com/images/pic2323186.jpg,8,"Hand Management, Simulation, Simultaneous Action Selection",458,"Card Game, Sports","Fabio Del Rio, Paolo Del Rio",1.5
"		4398							",https://boardgamegeek.com/boardgame/171136/pingo-pingo,171136,Pingo Pingo,2,5,15,15,15,2015,6.45273,5.65923,186,//cf.geekdo-images.com/images/pic2436857.jpg,6,none,542,"Action / Dexterity, Pirates",Roberto Fraga,1.4545
"		4399							",https://boardgamegeek.com/boardgame/26054/black-stories-3,26054,Black Stories 3,2,15,45,45,45,2006,6.21028,5.65764,288,//cf.geekdo-images.com/images/pic154093.jpg,14,none,588,"Card Game, Deduction, Horror, Humor, Murder/Mystery, Party Game",Holger Bösch,1.3125
"		4400							",https://boardgamegeek.com/boardgame/23263/clue-dvd-game,23263,Clue DVD Game,3,5,60,60,60,2006,6.22453,5.65688,316,//cf.geekdo-images.com/images/pic470110.jpg,10,none,813,"Deduction, Murder/Mystery",Rob Daviau,1.875
"		4401							",https://boardgamegeek.com/boardgame/205831/dreams,205831,Dreams,3,6,30,30,30,2016,6.59503,5.65652,159,//cf.geekdo-images.com/images/pic3126014.jpg,10,"Co-operative Play, Pattern Building, Pattern Recognition, Voting",163,"Deduction, Party Game",Olivier Grégoire,1
"		4402							",https://boardgamegeek.com/boardgame/76810/last-call-bartender-game,76810,Last Call: The Bartender Game,2,6,20,20,20,2010,6.27489,5.65753,235,//cf.geekdo-images.com/images/pic774099.jpg,12,Hand Management,305,"Mature / Adult, Party Game",Kris Gould,1.4762
"		4403							",https://boardgamegeek.com/boardgame/91050/venture-forth,91050,Venture Forth,2,4,60,60,60,2012,6.25143,5.65746,238,//cf.geekdo-images.com/images/pic982921.jpg,12,Route/Network Building,519,"Adventure, Mythology",Dan Manfredini,2.3478
"		4404							",https://boardgamegeek.com/boardgame/19464/soccer-tactics-world,19464,Soccer Tactics World,2,2,90,90,90,2006,6.09772,5.65742,325,//cf.geekdo-images.com/images/pic1038521.jpg,0,Roll / Spin and Move,570,"Dice, Sports",Randy Thompson,1.8148
"		4405							",https://boardgamegeek.com/boardgame/18615/warmaster-ancients,18615,Warmaster Ancients,2,99,90,90,90,2005,7.12913,5.65733,103,//cf.geekdo-images.com/images/pic139051.jpg,12,"Dice Rolling, Variable Player Powers",212,"Ancient, Book, Medieval, Miniatures, Wargame",Rick Priestley,2.7059
"		4406							",https://boardgamegeek.com/boardgame/24270/hoyuk,24270,Hoyuk,2,5,60,60,60,2006,6.28762,5.65413,303,//cf.geekdo-images.com/images/pic2858703.jpg,10,"Action Point Allowance System, Modular Board, Simulation, Tile Placement",658,"Ancient, City Building, Negotiation, Prehistoric, Print & Play",Pierre Canuel,2.5385
"		4407							",https://boardgamegeek.com/boardgame/9296/warzone-first-edition,9296,Warzone (first edition),2,8,180,180,180,1996,6.75828,5.65724,145,//cf.geekdo-images.com/images/pic38874.jpg,12,"Action Point Allowance System, Dice Rolling, Secret Unit Deployment",255,"Horror, Miniatures, Science Fiction, Wargame",Bill King,3.3529
"		4408							",https://boardgamegeek.com/boardgame/102107/race-adventure-spirit-century-exploration-game,102107,Race to Adventure: The Spirit of the Century Exploration Game,2,5,20,20,20,2013,6.31242,5.65813,244,//cf.geekdo-images.com/images/pic1260367.jpg,8,"Modular Board, Variable Phase Order",519,"Adventure, Exploration","Evan Denbaum, E. K. Lytle, Chris Ruggiero",1.5
"		4409							",https://boardgamegeek.com/boardgame/5041/idf-israeli-defense-force,5041,IDF (Israeli Defense Force),2,4,90,90,90,1993,6.93902,5.65717,123,//cf.geekdo-images.com/images/pic814713.jpg,12,"Hex-and-Counter, Modular Board, Simultaneous Action Selection",439,"Modern Warfare, Wargame",James M. Day,3.7059
"		4410							",https://boardgamegeek.com/boardgame/39045/heroes-world,39045,Heroes Of The World,2,5,75,75,75,2008,6.33203,5.65716,217,//cf.geekdo-images.com/images/pic386679.jpg,10,"Area Control / Area Influence, Dice Rolling",324,"Civilization, Political, Territory Building",Pascal Bernard,2.1613
"		4411							",https://boardgamegeek.com/boardgame/62226/iron-and-oak,62226,Iron and Oak,2,0,90,90,90,2013,6.90244,5.65905,123,//cf.geekdo-images.com/images/pic1651133.jpg,12,"Area Movement, Dice Rolling",447,"American Civil War, Civil War, Nautical, Wargame",James M. Day,2.5357
"		4412							",https://boardgamegeek.com/boardgame/144789/sheep-race,144789,The Sheep Race,2,6,45,45,45,2013,6.59704,5.65698,169,//cf.geekdo-images.com/images/pic1714028.jpg,10,"Betting/Wagering, Dice Rolling, Grid Movement",227,"Animals, Dice, Miniatures, Racing, Sports",Roberto Mancino,1.5385
"		4413							",https://boardgamegeek.com/boardgame/8208/trial-strength,8208,Trial of Strength,2,2,700,360,700,1985,7.98551,5.65682,69,//cf.geekdo-images.com/images/pic2692764.jpg,15,"Dice Rolling, Hex-and-Counter, Simulation",218,"Wargame, World War II",Dave O'Connor,3.7895
"		4414							",https://boardgamegeek.com/boardgame/1257/starbase-jeff,1257,Starbase Jeff,2,4,60,30,60,1998,6.11598,5.65678,378,//cf.geekdo-images.com/images/pic463843.jpg,10,"Betting/Wagering, Tile Placement",749,"Abstract Strategy, Card Game, Print & Play, Science Fiction","James Ernest, Jim Geldmacher",1.5294
"		4415							",https://boardgamegeek.com/boardgame/13254/second-world-war-sea-midway,13254,Second World War at Sea: Midway,2,2,240,240,240,2002,7.10347,5.65813,101,//cf.geekdo-images.com/images/pic2257871.jpg,12,"Dice Rolling, Hex-and-Counter, Simulation",523,"Nautical, Wargame, World War II","Michael Bennighof, Brian L. Knipple",3.1667
"		4416							",https://boardgamegeek.com/boardgame/44614/who-would-win,44614,Who Would Win,3,99,15,15,15,2009,6.22546,5.6556,262,//cf.geekdo-images.com/images/pic3048438.jpg,12,"Acting, Role Playing, Voting",426,"Card Game, Humor, Party Game",Jeff Siadek,1.2273
"		4417							",https://boardgamegeek.com/boardgame/7718/penguin-ultimatum,7718,The Penguin Ultimatum,2,4,45,45,45,2003,6.22677,5.65632,254,//cf.geekdo-images.com/images/pic668494.jpg,10,"Area Control / Area Influence, Set Collection, Tile Placement",419,"Abstract Strategy, Animals, Card Game, Humor, Puzzle",Jim Doherty,1.8333
"		4418							",https://boardgamegeek.com/boardgame/173804/gruff,173804,Gruff,2,4,45,20,45,2015,6.74921,5.66132,165,//cf.geekdo-images.com/images/pic2450633.jpg,11,Campaign / Battle Card Driven,534,Fantasy,Brent Critchfield,3
"		4419							",https://boardgamegeek.com/boardgame/183447/dice-drivin,183447,Dice Drivin',2,5,30,10,30,2016,7.03156,5.65615,180,//cf.geekdo-images.com/images/pic2879848.jpg,6,"Dice Rolling, Grid Movement, Variable Player Powers",325,"Dice, Racing",Rodrigo González,1.2308
"		4420							",https://boardgamegeek.com/boardgame/86128/barons,86128,Barons,2,6,60,60,60,2011,5.97463,5.65658,462,//cf.geekdo-images.com/images/pic899791.jpg,12,"Hand Management, Tile Placement",749,"Card Game, City Building, Medieval",Thomas Colthurst,2.3415
"		4421							",https://boardgamegeek.com/boardgame/303/koalition,303,Koalition,4,10,90,90,90,1992,6.43342,5.65596,184,//cf.geekdo-images.com/images/pic60544.jpg,12,none,364,"Card Game, Negotiation, Political",Hartmut Witt,2.3125
"		4422							",https://boardgamegeek.com/boardgame/156719/dino-race,156719,Dino Race,2,4,30,30,30,2014,6.18312,5.65793,313,//cf.geekdo-images.com/images/pic1964253.jpg,8,"Hand Management, Take That",545,"Card Game, Racing",Roberto Grasso,1.5625
"		4423							",https://boardgamegeek.com/boardgame/99132/2019-arctic,99132,2019: The ARCTIC,2,4,120,120,120,2011,6.83086,5.65527,128,//cf.geekdo-images.com/images/pic1007912.jpg,12,"Area Control / Area Influence, Area Enclosure, Set Collection, Simulation, Variable Phase Order, Worker Placement",171,"Economic, Exploration, Fighting, Industry / Manufacturing, Negotiation, Science Fiction",Andrzej Kurek,3.5
