fips,median_income,median_income_white,median_income_black,median_income_nativeamerican,median_income_asian,median_income_hispanic
13047,50876,50819,49981,,55652,46985
13049,42778,41929,4687546316,,,
13051,47218,55466,34807,,51606,41630
13053,43378,44877,3689539677,,,
13055,32913,33927,2221938750,,,
13057,68926,70839,67347,,61196,41363
13059,32162,37856,24395,,33598,27375
13061,20438,41359,14797,,,
13063,40938,38499,41967,25700,41626,34582
13065,24015,36016,129052499,,,
13067,65873,75041,50341,34120,84976,42816
13069,33965,37395,23251,35083,45466,26505
13071,32409,38286,22201,38482,,31474
13073,71021,72414,62171,,87164,52962
13075,35683,41234,26307,38571,,30956
13077,62461,66660,40190,250001,68958,38823
13079,41825,44298,28682,,,
13081,31615,47089,1763752893,,,
13083,46434,47377,,,,
13085,56943,57078,42721,,,
13087,31284,38125,22021,55417,,50427
13089,51376,73219,42048,41875,53266,36789
13091,34271,41636,2699417806,,,
13093,28696,30847,2281338223,,,
13095,32084,50469,2639934063,,,
13097,53881,56579,49904,33500,64697,47247
13099,31680,44729,202772499,,,
13101,32959,34337,23459,,,
13103,63100,67761,40513,,82661,62769
13105,35388,41173,2012039097,,,
13107,32229,38174,23941,,2499,37156
13109,37865,42868,3138922131,,,
13111,37049,37117,,80192,,33889
13113,79066,78589,80639,65714,78424,51544
13115,41549,46211,26090,,48675,31492
13117,88816,87872,74545,80913,117064,49496
13119,33816,35323,2300026964,,,
13121,57207,84666,36030,32048,93780,43655
13123,40228,40731,,148125,151250,27931
13125,40759,44875,19514,,,
13127,45918,55254,26347,26397,40769,47688
13129,41612,42847,25995,,52500,32918
13131,34187,41419,1965417961,,,
13133,42408,57795,22827,,49044,20473
13135,60289,69649,52203,47143,57135,38924
13137,40907,41470,30000,58750,44028,34929
13139,51202,53476,33260,,53400,39501
13141,24925,37994,22083,,,
13143,41910,42532,32054,2499,36429,
13145,63824,74078,31464,,95139,103902
13147,37653,39567,2402035610,,,
13149,41525,42512,29650,13750,,18542
13151,60424,62010,58448,,72840,46703
13153,53270,58985,41191,28500,52375,53719
13155,34156,42619,22332,,,
13157,53379,54911,31625,47974,58750,47549
13159,42368,43550,38393,,,
13161,36385,37822,2035729866,,,
13163,26557,41547,17467,55833,,15608
13165,24604,29552,19763,,,
13167,34438,40158,16637,,,
13169,51857,56293,3852986806,,,
13171,40344,47421,2044836146,,,
13173,37605,44768,1642236625,,,
13175,32356,38798,2095437019,,,
13177,61537,64484,51638,,50833,
13179,42201,44140,40170,35694,45833,43938
13181,34243,36931,27500,,,
13183,48863,51000,41222,18813,,29259
13185,36834,45193,24116,103971,29704,27230
13187,43804,44625,43571,,,
13189,36656,50554,2213017679,,,
13191,42988,50587,2751155948,,,
13193,28684,41875,17660,,56645,
13195,41912,42850,30750,45750,,28886
13197,36242,39266,26210223750,,,
13199,35832,44852,24829,,,
13201,33983,42076,17279,,,
13205,31915,39833,2576328929,,,
13207,48744,54655,2259658958,,,
13209,34672,38542,2524336250,,,
13211,51820,58421,32572,,,
13213,35539,35208,48656,,,
13215,42306,53668,32351,61741,62361,39164
13217,49179,51827,46070,31875,62557,41530
13219,72182,73102,42399,250001,130643,50724
13221,44226,49177,2488140464,,,
13223,60109,60992,57598,60068,48077,52163
13225,41588,54362,3206226215,,,
13227,54123,54863,,,,
13229,40247,43400,1580934655,,,
13231,51338,53792,32500,,,
13233,37853,39732,28987,,37756,51033
13235,38750,46435,2225026208,,,
13237,44299,54436,3272527053,,,
13239,31487,32069,27049,,,
13241,35211,37178,,,,
13243,28377,45208,22054,,,
13245,37424,46154,31130,34861,42050,43258
13247,50455,50519,50814,,54375,34393
13249,39375,48864,20117,,,
13251,34466,42857,22873,,,
13253,34905,42863,2153834398,,,
13255,40246,48097,24870,42885,36299,33025
13257,40315,42979,23784,,,
13259,21118,45833,15295,,,
13261,32758,46492,22610,,33952,22284
13263,34078,40513,2515662083,,,
13265,26306,33417,23531,,,
13267,33980,40830,1816124150,,,
13269,28143,36079,20049,,,
13271,26449,30054,2050029278,,,
13273,28688,50152,19776,,,
13275,36641,45275,24514,,50779,32552
