fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
12067,2563,950,2877,624,5440,1574
12069,125259,22303,138043,21490,263302,43793
12071,255054,66636,280570,55914,535624,122550
12073,115325,17626,131496,15063,246821,32689
12075,15211,4276,16052,3841,31263,8117
12077,2740,935,2544,555,5284,1490
12079,6335,1640,7137,1571,13472,3211
12081,133634,30738,149647,26970,283281,57708
12083,128783,29261,144671,26132,273454,55393
12085,60203,12641,67195,8716,127398,21357
12086,913720,345984,1029301,323198,1943021,669182
12087,29681,9093,27902,7520,57583,16613
12089,30711,6234,33052,5141,63763,11375
12091,73497,13973,81113,12515,154610,26488
12093,13706,4583,14278,3667,27984,8250
12095,467393,128157,507628,114016,975021,242173
12097,112065,34689,121293,30788,233358,65477
12099,529441,128224,596926,111457,1126367,239681
12101,193843,35107,212253,32228,406096,67335
12103,365646,75277,414317,64993,779963,140270
12105,244527,54900,269368,48305,513895,103205
12107,26738,8046,29921,6747,56659,14793
12109,89166,11914,97157,10407,186323,22321
12111,111403,27579,121141,25709,232544,53288
12113,63955,10401,68241,9510,132196,19911
12115,156083,29291,177734,25125,333817,54416
12117,175304,34653,193878,30781,369182,65434
12119,42824,4040,47895,4641,90719,8681
12121,16064,4338,18457,3256,34521,7594
12123,7353,1417,8621,1209,15974,2626
12125,4013,645,4612,749,8625,1394
12127,195665,46346,218308,37655,413973,84001
12129,11867,1904,12202,1544,24069,3448
12131,22001,6235,24485,4684,46486,10919
12133,9143,1767,9808,1333,18951,3100
13001,6884,1813,7352,1904,14236,3717
13003,2825,1239,2946,1258,5771,2497
13005,4042,1127,4639,893,8681,2020
13007,1242,337,1360,353,2602,690
13009,17553,3212,20229,2532,37782,5744
13011,7764,1546,7383,1626,15147,3172
13013,29308,6640,29988,5862,59296,12502
13015,40864,8691,42129,8803,82993,17494
13017,6364,1800,7307,1686,13671,3486
13019,6868,2398,7046,2399,13914,4797
13021,57314,12905,68408,12534,125722,25439
13023,5107,829,5784,661,10891,1490
13025,6714,2402,6844,2433,13558,4835
13027,5831,1825,6442,1500,12273,3325
13029,13252,2139,14659,2148,27911,4287
13031,29523,5724,30317,5977,59840,11701
13033,8811,2074,9966,1911,18777,3985
13035,8376,1778,9064,1781,17440,3559
13037,1590,514,2045,524,3635,1038
13039,19948,3210,21611,3033,41559,6243
13043,3697,1481,4227,1339,7924,2820
13045,44101,9868,48004,9459,92105,19327
13047,26625,4978,29051,4201,55676,9179
13049,4584,1208,4690,1299,9274,2507
13051,104174,23951,119106,24088,223280,48039
13053,3063,521,3390,255,6453,776
13055,9063,2149,10018,2139,19081,4288
13057,93307,17236,99818,14680,193125,31916
13059,46322,10381,53847,9368,100169,19749
13061,1022,463,1258,303,2280,766
13063,91148,33348,106904,32596,198052,65944
13065,2631,644,2665,720,5296,1364
13067,283287,61679,312433,56631,595720,118310
13069,14017,4585,16269,4704,30286,9289
13071,15045,7292,17560,5434,32605,12726
13073,57173,6985,62660,6391,119833,13376
13075,6130,2021,6425,2313,12555,4334
13077,56787,8063,60351,7622,117138,15685
13079,5257,1072,5226,836,10483,1908
13081,8719,1980,9882,2284,18601,4264
13083,6555,1335,7142,1264,13697,2599
13085,9301,1797,9935,1457,19236,3254
13087,9471,2732,11253,2606,20724,5338
13089,266420,70503,307491,64529,573911,135032
13091,7503,1809,8548,1351,16051,3160
13093,4541,1544,5394,1140,9935,2684
13095,32319,9804,40211,9197,72530,19001
13097,53134,11539,59541,11129,112675,22668
13099,3871,934,4701,914,8572,1848
13101,1259,634,1488,667,2747,1301
13103,22974,3773,22833,4476,45807,8249
13105,7653,1521,8694,1435,16347,2956
13107,7750,2841,9203,2169,16953,5010
13109,3903,817,4597,1013,8500,1830
