fips,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend
48143,144.2 ,128.5, 161.4,63,falling,-1.3 ,-1.9, -0.8
48477,143.4 ,129.1, 159.1,80,falling,-1.4 ,-1.8, -0.9
48323,143.1 ,128.8, 158.5,75,stable,-0.2 ,-0.7, 0.3
48125,143 ,90.2, 220.7,5,stable,-1.2 ,-2.9, 0.6
48319,143 ,105.4, 192.8,12,falling,-1.7 ,-2.7, -0.7
48465,142.8 ,128.6, 158.2,75,falling,-1.8 ,-2.3, -1.2
48471,142.7 ,130.4, 155.7,104,falling,-1.7 ,-2.2, -1.1
48355,142.4 ,137.1, 147.8,568,falling,-1.7 ,-1.9, -1.5
48397,142.3 ,131.4, 153.8,133,falling,-1.6 ,-2.1, -1.1
48205,142.1 ,103.8, 190.4,9,stable,-1.3 ,-2.7, 0.0
48091,141.9 ,134.1, 150,264,falling,-1.2 ,-1.6, -0.8
48201,141.6 ,139.8, 143.3,5550,falling,-2.0 ,-2.2, -1.9
48423,140.6 ,134.3, 147.1,392,rising,7.4 ,3.5, 11.4
48169,140.5 ,101.2, 190.2,9,falling,-1.9 ,-3.3, -0.6
48191,140.4 ,95.8, 202.5,7,stable,-0.3 ,-1.8, 1.1
48127,139.7 ,111, 173.9,17,falling,-1.3 ,-2.2, -0.4
48209,139.5 ,131.5, 147.9,245,falling,-1.5 ,-1.9, -1.1
48381,138.7 ,130.3, 147.5,210,falling,-0.8 ,-1.1, -0.6
48013,138.6 ,124.9, 153.5,77,falling,-1.3 ,-1.8, -0.7
48383,137.7 ,85.7, 208.4,4,stable,-1.3 ,-3.5, 1.0
48325,136.8 ,123.9, 150.7,86,falling,-1.2 ,-1.6, -0.7
48235,136 ,77.2, 230.4,3,*,*,*,*
48427,135.9 ,122.6, 150.3,77,stable,0.1 ,-0.6, 0.7
48435,135.8 ,94.2, 191.4,7,falling,-2.3 ,-3.9, -0.7
48093,135.3 ,114.1, 159.9,31,falling,-5.1 ,-8.8, -1.3
48411,134.4 ,102.2, 175.2,13,stable,-1.0 ,-2.1, 0.1
48369,134.1 ,103.9, 170.3,14,stable,-0.9 ,-2.3, 0.5
48141,133.7 ,130.1, 137.3,1067,falling,-1.4 ,-1.6, -1.2
48069,132.7 ,100.5, 172.2,12,falling,-1.8 ,-2.8, -0.7
48491,132.6 ,128, 137.3,662,falling,-1.7 ,-1.9, -1.4
48017,132.4 ,97.8, 175.5,10,falling,-1.5 ,-2.8, -0.2
48095,131.2 ,89.1, 189.9,6,stable,-0.4 ,-1.8, 1.0
48445,130.5 ,105.3, 160.2,19,falling,-1.0 ,-1.8, -0.1
48041,130.4 ,122.5, 138.8,207,falling,-1.8 ,-2.1, -1.4
48171,129.8 ,115.4, 145.9,71,falling,-1.3 ,-1.8, -0.9
48479,128.7 ,121.8, 135.9,268,falling,-0.7 ,-1.1, -0.4
48151,127.3 ,91.7, 175.7,9,stable,-1.0 ,-2.2, 0.3
48417,125.9 ,85.2, 182.5,6,falling,-2.8 ,-4.4, -1.2
48121,125.6 ,121.7, 129.7,842,falling,-2.0 ,-2.2, -1.8
48489,125.5 ,105.5, 148.2,28,stable,-1.0 ,-2.0, 0.0
48259,125.3 ,112.6, 139.1,75,falling,-5.7 ,-8.9, -2.5
48295,124.5 ,80.9, 184.8,5,falling,-2.7 ,-4.1, -1.2
48453,124 ,120.7, 127.4,1190,falling,-2.2 ,-2.3, -2.0
48149,123.3 ,109, 139.4,58,falling,-1.5 ,-2.2, -0.9
48389,122.9 ,98.8, 151.2,18,falling,-1.8 ,-2.6, -1.0
48297,122.1 ,100, 148.3,22,falling,-1.7 ,-2.6, -0.8
48085,121.2 ,117.8, 124.7,1012,falling,-2.0 ,-2.2, -1.8
48061,120.9 ,116.3, 125.7,514,falling,-1.1 ,-1.3, -0.9
48357,118.8 ,88.4, 155.8,11,falling,-1.7 ,-2.8, -0.7
48371,117.6 ,95, 144,19,falling,-2.9 ,-4.1, -1.8
48043,116.4 ,92.3, 146,17,falling,-1.3 ,-2.2, -0.5
48087,116.4 ,72.9, 178.6,5,stable,-1.2 ,-2.7, 0.3
48327,116.4 ,73, 186.6,5,falling,-2.4 ,-4.0, -0.7
48157,116.1 ,112.2, 120.1,761,falling,-1.9 ,-2.3, -1.6
48065,114.8 ,85, 153.3,10,falling,-2.1 ,-3.2, -1.0
