fips,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
08017,468 ,345, 622.4,11,stable,2.0 ,-1.5, 5.5
08095,429.3 ,351.3, 520.2,26,stable,-1.5 ,-3.5, 0.7
08077,422.3 ,409, 435.9,826,falling,-1.4 ,-2.0, -0.8
08041,415.5 ,408.5, 422.5,2866,falling,-3.8 ,-6.9, -0.6
08069,414.6 ,405.2, 424.2,1569,rising,1.6 ,0.4, 2.8
08045,414.1 ,390.5, 438.7,252,stable,-0.9 ,-1.9, 0.1
08101,413.4 ,400.8, 426.3,874,falling,-1.5 ,-2.1, -1.0
08031,408.2 ,401.2, 415.4,2694,falling,-1.6 ,-2.1, -1.0
08043,407.6 ,385.8, 430.4,284,stable,-0.9 ,-1.8, 0.0
08099,407 ,361.1, 457.5,61,stable,-0.5 ,-1.7, 0.6
08059,406.3 ,399.4, 413.3,2834,falling,-1.0 ,-1.3, -0.7
08123,405 ,394.4, 415.8,1172,stable,-0.3 ,-0.8, 0.2
08001,404.2 ,395.6, 413,1783,falling,-0.9 ,-1.3, -0.6
08073,402 ,336.9, 476.9,28,stable,1.7 ,-0.5, 4.0
08119,396.5 ,364, 431.4,142,falling,-1.7 ,-3.0, -0.3
08005,396 ,389, 403.1,2609,stable,-0.8 ,-2.8, 1.1
08009,395 ,316.1, 489.2,22,stable,-0.1 ,-2.0, 1.9
08087,391.8 ,361.3, 424.3,127,stable,-0.7 ,-1.6, 0.3
08035,391.1 ,381, 401.5,1263,falling,-1.3 ,-1.8, -0.8
08015,389.5 ,356.3, 425.4,118,stable,-0.8 ,-2.1, 0.5
08029,388.6 ,361.7, 417.2,188,stable,-0.7 ,-1.5, 0.1
08057,387.3 ,263.5, 554.2,7,rising,26.9 ,5.2, 53.0
08085,385.7 ,362.6, 410,235,falling,-1.3 ,-1.9, -0.6
08013,384.3 ,374.8, 394,1322,stable,1.4 ,-2.6, 5.7
08081,382.4 ,337.8, 431.4,58,falling,-2.6 ,-4.0, -1.2
08125,381.4 ,333.5, 434.7,49,stable,-1.2 ,-3.3, 0.8
08014,381.2 ,360.8, 402.5,270,falling,-1.4 ,-2.0, -0.7
08091,373.3 ,305.7, 453.9,29,stable,-1.1 ,-3.4, 1.2
08121,369.4 ,306.1, 443.4,26,stable,-1.1 ,-3.5, 1.3
08039,368.9 ,336.6, 403.6,118,falling,-1.4 ,-2.5, -0.3
08079,367.8 ,214, 612.6,5,stable,-1.5 ,-8.7, 6.3
08003,367.3 ,325, 413.5,59,stable,-0.2 ,-1.7, 1.3
08071,365.4 ,327.5, 407,79,stable,0.7 ,-0.8, 2.2
08075,358.7 ,326.8, 392.9,99,falling,-2.2 ,-3.4, -1.0
08063,355.4 ,303.2, 414.6,35,stable,-1.5 ,-3.0, 0.0
08019,353.8 ,307.1, 406.6,50,falling,-15.5 ,-28.1, -0.6
08089,350.8 ,318, 386.5,90,falling,-2.1 ,-3.3, -0.9
08103,347 ,288.7, 414.1,27,falling,-2.1 ,-3.8, -0.3
08051,342.6 ,301.9, 387.4,58,falling,-2.7 ,-4.7, -0.7
08097,339.8 ,305.8, 376.9,84,falling,-2.0 ,-3.2, -0.7
08107,339.7 ,307.8, 374.2,97,falling,-2.2 ,-3.8, -0.6
08115,337.1 ,253.1, 444,13,stable,-1.6 ,-4.6, 1.5
08113,335.8 ,273.2, 408.2,28,falling,-3.7 ,-6.3, -1.0
08067,334.7 ,314.6, 355.8,230,falling,-1.9 ,-2.9, -0.9
08055,329.8 ,282.5, 385,44,falling,-2.7 ,-4.8, -0.5
08105,326.5 ,285.8, 371.7,51,falling,-1.7 ,-3.3, -0.2
08037,325 ,301.1, 350.2,169,falling,-1.8 ,-2.7, -0.9
08049,319.3 ,280.4, 362.2,60,stable,-1.3 ,-2.9, 0.2
08093,318.6 ,282.7, 358.3,79,falling,-2.1 ,-3.6, -0.6
08053,317.1 ,178.8, 538.8,4,stable,-3.4 ,-10.0, 3.7
08027,313.4 ,258.7, 380.4,32,falling,-9.2 ,-14.9, -3.1
08011,312.6 ,257.8, 376.9,24,stable,-1.4 ,-3.1, 0.2
08109,310.4 ,257.7, 371.9,31,stable,-16.3 ,-33.5, 5.2
08083,306.5 ,280.4, 334.6,115,falling,-6.1 ,-8.8, -3.3
08007,299.6 ,262.7, 340.8,61,falling,-2.3 ,-3.8, -0.7
08025,293.7 ,236.3, 362.2,19,falling,-3.0 ,-5.5, -0.5
08047,283.1 ,223.9, 354.1,22,falling,-5.3 ,-8.0, -2.5
08065,274.2 ,222.4, 334.5,22,stable,-1.9 ,-4.8, 1.1
08033,268.6 ,183.2, 383.9,8,stable,-1.7 ,-6.3, 3.2
08021,268.5 ,224.6, 319,28,stable,-1.7 ,-3.7, 0.3
08023,260.4 ,201.2, 334.6,17,falling,-3.7 ,-6.1, -1.3
08117,244.9 ,218.7, 273.4,81,falling,-3.0 ,-4.8, -1.1
08111,* ,*, *,3 or fewer,*,*,*,*
11001,426 ,418.9, 433.2,2867,stable,-1.1 ,-5.3, 3.3
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
10000,479.6 ,474, 485.3,5893,falling,-2.7 ,-4.6, -0.9
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
10001,511.7 ,497.8, 525.9,1084,falling,-3.4 ,-6.4, -0.3
10003,476.1 ,468.4, 483.8,3086,falling,-0.8 ,-1.1, -0.5
10005,467.6 ,456.8, 478.6,1722,falling,-4.9 ,-8.5, -1.2
12000,460.2 ,459, 461.3,130868,stable,-1.8 ,-3.7, 0.1
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
12125,1136.4 ,1066.6, 1209.9,214,stable,0.0 ,-1.0, 1.1
12089,557.1 ,537.2, 577.6,662,stable,0.5 ,-0.3, 1.3
12053,549.6 ,536.9, 562.6,1710,stable,-1.5 ,-3.1, 0.1
12017,533.8 ,519.5, 548.4,1556,rising,0.6 ,0.1, 1.1
12069,520.5 ,511.4, 529.7,2911,falling,-0.5 ,-0.8, -0.1
12083,520.4 ,511.4, 529.5,3132,falling,-0.6 ,-1.0, -0.1
12031,520.3 ,513.9, 526.8,5264,stable,-2.4 ,-6.0, 1.3
12019,510.4 ,497.4, 523.8,1235,stable,-0.1 ,-0.6, 0.5
12101,508.7 ,501.3, 516.3,3865,falling,-0.7 ,-1.0, -0.4
12023,503.4 ,482.3, 525.2,459,rising,0.5 ,0.1, 0.8
12005,501 ,487.8, 514.5,1153,stable,0.1 ,-0.8, 1.0
12107,496.9 ,477.2, 517.2,549,stable,-0.6 ,-1.3, 0.1
12009,494.1 ,487.2, 501,4498,falling,-2.0 ,-3.5, -0.5
12105,492.4 ,485.7, 499.1,4489,falling,-1.0 ,-1.3, -0.8
12033,491.9 ,481.7, 502.3,1870,stable,0.0 ,-0.4, 0.4
12075,491.7 ,465.7, 518.9,313,stable,-0.4 ,-1.2, 0.4
12035,491.5 ,476, 507.5,954,stable,-0.7 ,-1.3, 0.0
12127,491.3 ,484.1, 498.5,4115,stable,-0.4 ,-4.1, 3.4
12109,491.2 ,480, 502.6,1580,stable,-2.1 ,-6.6, 2.6
12029,490.8 ,451.6, 533.1,129,stable,-0.1 ,-1.1, 0.9
12061,490.6 ,477.5, 504,1408,stable,-0.1 ,-0.4, 0.3
12121,486.4 ,461.3, 512.7,305,stable,-0.3 ,-1.2, 0.7
12115,481.4 ,473.5, 489.4,4089,stable,0.7 ,-0.1, 1.4
12057,480.8 ,475.8, 485.8,7354,stable,-0.2 ,-1.7, 1.5
12103,479.6 ,474.4, 484.9,7381,stable,-0.3 ,-0.6, 0.0
12015,471 ,459, 483.4,1811,stable,0.2 ,-0.5, 0.9
12007,470.4 ,438, 504.7,165,stable,-0.3 ,-1.2, 0.6
12093,466.5 ,440.7, 493.6,258,stable,-0.5 ,-1.5, 0.5
12113,466.1 ,452.6, 479.9,953,stable,-0.3 ,-1.0, 0.4
12049,462.5 ,428.7, 498.3,143,stable,0.5 ,-0.5, 1.6
12001,461.7 ,449.9, 473.7,1239,falling,-0.7 ,-1.2, -0.2
12013,461.3 ,418.8, 507.3,89,stable,1.0 ,-0.4, 2.3
12041,460.9 ,420.3, 504.6,107,stable,0.0 ,-1.2, 1.3
12055,460.1 ,444.1, 476.7,897,stable,-0.2 ,-0.8, 0.3
12097,457.2 ,447.1, 467.5,1606,stable,0.0 ,-0.5, 0.4
12037,456.4 ,409.8, 507.6,79,stable,0.1 ,-1.2, 1.5
12117,455.3 ,447, 463.6,2430,falling,-0.6 ,-1.0, -0.2
12085,453.5 ,441.2, 466.2,1314,falling,-4.4 ,-7.6, -1.2
12129,452.5 ,421.5, 485.3,171,stable,0.1 ,-0.7, 0.9
12039,449.5 ,424.8, 475.3,264,falling,-0.9 ,-1.7, -0.1
12045,448 ,408.9, 490.3,103,stable,-0.1 ,-1.0, 0.9
12119,445 ,429.7, 460.9,1514,falling,-1.0 ,-1.3, -0.6
12111,442.6 ,433.6, 451.7,2075,stable,-0.5 ,-1.0, 0.0
12011,442.3 ,438.5, 446.2,10386,falling,-4.0 ,-7.8, -0.1
12081,440.7 ,432.7, 448.8,2752,stable,-0.4 ,-0.9, 0.1
12091,437.1 ,425, 449.5,1041,falling,-1.2 ,-1.7, -0.8
12099,437 ,432.9, 441.2,9721,falling,-3.9 ,-6.4, -1.2
12067,433.9 ,377.9, 496.3,44,stable,0.7 ,-1.3, 2.8
12003,429.4 ,396.6, 464.3,132,falling,-1.2 ,-2.1, -0.3
12047,429.2 ,386.1, 476.1,77,stable,0.8 ,-0.6, 2.2
12123,428.3 ,394.9, 464,130,falling,-1.3 ,-2.1, -0.5
12086,427 ,423.8, 430.3,13815,falling,-0.7 ,-1.0, -0.4
12071,426.6 ,420.9, 432.3,5183,falling,-0.7 ,-1.3, -0.2
12095,423.7 ,418.6, 428.9,5494,falling,-1.3 ,-1.6, -1.1
12087,411.6 ,394.6, 429.2,492,falling,-7.7 ,-14.2, -0.7
12027,408.7 ,383.3, 435.4,210,rising,2.9 ,1.0, 4.8
12073,401.9 ,391.1, 412.9,1130,falling,-1.1 ,-1.7, -0.6
12021,396.3 ,388.7, 404.1,2625,falling,-1.2 ,-1.7, -0.7
12131,393.7 ,375, 413.1,364,falling,-1.1 ,-1.9, -0.4
12133,390 ,359.2, 422.9,124,stable,1.1 ,-0.6, 2.7
12051,387.3 ,360.9, 415.2,163,falling,-1.2 ,-2.0, -0.3
12065,378.3 ,340.4, 419.7,82,stable,-0.9 ,-2.1, 0.5
12077,366.4 ,312.9, 426.9,34,stable,-0.8 ,-2.6, 1.0
12063,334.4 ,314.4, 355.4,219,stable,0.6 ,-0.3, 1.5
12043,325.8 ,290.8, 364.5,72,falling,-1.9 ,-3.4, -0.5
12079,325.4 ,294.2, 359.4,85,stable,-1.4 ,-2.9, 0.2
12059,296.6 ,267.1, 328.7,79,rising,2.1 ,0.1, 4.1
13000,468.5 ,466.7, 470.4,51965,falling,-0.2 ,-0.3, -0.1
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
13227,603.4 ,569.8, 638.6,273,rising,1.3 ,0.5, 2.0
13177,582.1 ,542.3, 624.1,174,rising,1.3 ,0.4, 2.3
13287,565.2 ,501, 635.8,60,stable,0.7 ,-0.8, 2.2
13281,564.5 ,511.7, 622.2,124,stable,0.9 ,-0.3, 2.1
13029,550.3 ,514.1, 588.3,182,rising,0.9 ,0.1, 1.6
13187,542.5 ,508.5, 578.3,209,stable,0.1 ,-0.8, 1.1
13189,537.3 ,497.2, 579.8,144,stable,1.0 ,-0.1, 2.1
13079,527.8 ,477, 583,88,stable,0.9 ,0.0, 1.9
13301,526.1 ,453.3, 608.7,42,*,*,*,*
13217,522.9 ,503.4, 542.9,575,stable,0.2 ,-0.2, 0.6
13143,521.7 ,487.7, 557.5,183,stable,0.6 ,0.0, 1.2
13159,521.1 ,473, 573,94,*,*,*,*
13207,521 ,487.2, 556.8,190,stable,0.2 ,-0.6, 1.1
13195,520.6 ,487.1, 556,191,stable,0.3 ,-0.5, 1.1
13013,518.4 ,495.5, 542,407,stable,0.1 ,-0.6, 0.9
13255,518.2 ,495.7, 541.6,421,stable,-0.2 ,-1.2, 0.8
13277,518 ,488.4, 549.1,236,stable,0.8 ,0.0, 1.6
13291,517.6 ,483.4, 554,228,stable,0.2 ,-0.7, 1.1
13057,511.8 ,499.1, 524.8,1323,stable,0.2 ,-0.3, 0.7
13293,511.3 ,477.4, 547,182,stable,0.5 ,-0.3, 1.4
13305,510.6 ,477.2, 545.8,181,stable,-0.1 ,-1.1, 1.0
13257,508.5 ,473.9, 545.1,174,stable,0.4 ,-0.3, 1.1
13035,508.1 ,471.2, 547.3,146,stable,0.4 ,-0.6, 1.3
13053,506.3 ,415.4, 609.7,24,stable,1.0 ,-1.5, 3.6
13157,505.8 ,482.6, 529.9,374,stable,0.2 ,-0.4, 0.8
13273,505.6 ,447.7, 569.5,61,stable,-1.0 ,-2.1, 0.2
13017,505.6 ,462, 552.3,105,stable,-1.1 ,-2.3, 0.2
13169,505.1 ,471.6, 540.4,180,rising,1.2 ,0.1, 2.3
13119,503.5 ,467, 542.3,151,rising,1.2 ,0.3, 2.2
13123,503.3 ,472.9, 535.5,238,rising,1.4 ,0.3, 2.4
13137,501.9 ,475.4, 529.6,282,stable,0.6 ,0.0, 1.2
13261,500.9 ,468, 535.7,182,stable,0.4 ,-0.2, 1.0
13231,499.7 ,457.8, 544.7,110,stable,0.7 ,-0.1, 1.5
13233,499.6 ,471.5, 528.9,247,falling,-1.2 ,-1.8, -0.6
13139,498.9 ,485.5, 512.7,1074,stable,-0.1 ,-0.5, 0.4
13321,498.7 ,460.7, 539.2,138,stable,0.7 ,-0.2, 1.7
13221,498.4 ,453.6, 546.8,97,stable,0.6 ,-0.1, 1.3
13105,498.1 ,459.5, 539.4,135,stable,0.9 ,-0.1, 1.9
13103,497.3 ,471.1, 524.6,291,stable,0.5 ,-0.3, 1.3
13021,496.5 ,481.6, 511.8,879,stable,-0.2 ,-0.5, 0.1
13045,496.4 ,478.4, 514.9,599,stable,0.3 ,0.0, 0.7
13311,496.2 ,465.2, 529.1,211,stable,-0.3 ,-1.2, 0.6
13173,494.2 ,435.9, 558.1,55,stable,-0.4 ,-1.8, 1.0
13163,492.8 ,449.5, 539.4,102,*,*,*,*
13117,492.4 ,478.8, 506.3,1055,stable,-0.2 ,-0.6, 0.2
13171,491.7 ,450.5, 535.8,113,stable,-0.2 ,-1.2, 0.8
13065,491.1 ,422.7, 567.8,40,stable,-0.3 ,-1.6, 1.0
13181,490.8 ,433.2, 555,61,rising,4.4 ,1.1, 7.8
13297,490.8 ,471.6, 510.6,514,stable,-0.6 ,-1.3, 0.2
13289,490.5 ,434, 553.3,63,stable,0.7 ,-0.9, 2.3
13151,490.5 ,476.9, 504.3,1075,stable,-0.3 ,-0.7, 0.1
13215,490.4 ,476.7, 504.5,1001,stable,-0.9 ,-1.9, 0.1
13149,489.4 ,438.4, 544.9,72,stable,0.4 ,-0.7, 1.5
13133,489.3 ,450.1, 531.4,144,*,*,*,*
13237,488.4 ,453.3, 525.8,164,*,*,*,*
13033,487.1 ,448.8, 527.9,129,stable,0.2 ,-0.6, 1.1
13223,485 ,468.4, 502.1,705,stable,-0.5 ,-0.9, 0.0
13205,484.9 ,448.3, 523.9,135,stable,-0.5 ,-1.4, 0.3
13063,482.6 ,469.1, 496.3,1137,stable,0.3 ,0.0, 0.5
13039,482.4 ,455.1, 510.8,253,stable,-0.3 ,-1.2, 0.6
13245,482.3 ,468.9, 495.9,1051,stable,1.4 ,-0.6, 3.4
13129,479.9 ,455.8, 504.9,311,stable,-0.1 ,-0.7, 0.4
13225,479.7 ,445.5, 516.1,155,stable,-0.4 ,-1.4, 0.5
13153,479.7 ,464.1, 495.6,747,stable,1.8 ,0.0, 3.7
13111,479.4 ,448.1, 512.7,215,rising,1.0 ,0.1, 1.8
13275,478.8 ,453.1, 505.7,273,falling,-0.9 ,-1.6, -0.1
13075,478 ,435.7, 523.4,98,stable,0.1 ,-0.8, 1.1
13211,477.9 ,439.1, 519.5,120,*,*,*,*
13055,477.9 ,443.6, 514.3,152,stable,0.7 ,0.0, 1.4
13009,477.3 ,450.3, 505.5,249,stable,0.0 ,-0.8, 0.8
13077,477.2 ,461.4, 493.4,731,stable,0.1 ,-0.3, 0.5
13285,475 ,453.2, 497.6,374,stable,-0.2 ,-0.8, 0.3
13027,474.3 ,431.9, 520,101,stable,0.4 ,-0.8, 1.6
13113,474 ,457.6, 491,687,stable,-0.2 ,-0.7, 0.4
13247,473.6 ,454.1, 493.7,477,stable,-0.5 ,-1.1, 0.0
13155,472.8 ,418, 533.2,56,stable,0.2 ,-1.0, 1.4
13097,472.6 ,455.9, 489.8,658,stable,-0.4 ,-0.9, 0.1
13015,472.4 ,454.3, 491.2,539,falling,-0.8 ,-1.2, -0.4
13213,472.1 ,443.4, 502.2,213,rising,4.5 ,2.2, 6.8
13095,472 ,453, 491.6,494,falling,-0.7 ,-1.2, -0.2
13239,471.2 ,375, 590.1,20,stable,0.0 ,-2.4, 2.6
13251,471.1 ,426.6, 519.3,89,stable,0.5 ,-0.3, 1.3
13023,471 ,422.5, 523.7,73,stable,-5.3 ,-17.7, 9.0
13303,470.8 ,433.9, 510.2,126,*,*,*,*
13011,470.8 ,430.6, 514,109,stable,0.1 ,-0.9, 1.1
13107,470.3 ,433.6, 509.5,127,stable,0.2 ,-0.8, 1.3
13199,470.1 ,435, 507.6,144,stable,1.0 ,0.0, 2.0
13067,468.9 ,461.7, 476.1,3483,falling,-0.3 ,-0.4, -0.1
13069,468.1 ,439.9, 497.7,214,stable,1.1 ,-0.1, 2.4
13279,466.6 ,433.4, 501.9,152,stable,-0.4 ,-1.5, 0.6
13115,465.8 ,448.2, 483.9,550,stable,-0.4 ,-0.9, 0.1
13259,465.7 ,394.5, 547,32,stable,1.0 ,-0.9, 2.9
13121,465.1 ,458.9, 471.3,4625,falling,-0.9 ,-1.1, -0.8
13241,463.2 ,424.3, 505.1,125,stable,0.3 ,-0.6, 1.3
13299,463.1 ,434.4, 493.2,205,stable,-0.1 ,-0.8, 0.5
13317,459 ,409.4, 513.6,70,stable,-0.3 ,-1.5, 0.8
13319,458.6 ,405, 517.9,57,stable,0.1 ,-1.2, 1.4
13145,457.9 ,428.9, 488.5,205,stable,0.2 ,-0.6, 1.1
13219,456.7 ,427.5, 487.5,193,stable,-0.2 ,-1.1, 0.6
13175,455.6 ,431, 481.3,269,stable,-0.1 ,-0.8, 0.5
13229,455.3 ,416.4, 497,106,stable,-0.6 ,-1.6, 0.3
13087,454.3 ,421.6, 488.9,150,stable,0.0 ,-0.9, 1.0
13135,452.8 ,445.8, 459.8,3624,stable,-0.1 ,-0.3, 0.1
13263,451.2 ,391.3, 519.2,47,stable,0.1 ,-1.3, 1.5
13089,450.7 ,443.7, 457.8,3342,stable,-0.9 ,-4.2, 2.4
13059,448.8 ,430.3, 468,464,stable,-0.4 ,-0.8, 0.0
13085,448.8 ,415, 484.8,146,stable,-0.8 ,-1.8, 0.3
13019,448.7 ,410.8, 489.3,109,stable,0.4 ,-0.6, 1.4
13185,448.2 ,430.1, 466.9,479,stable,-0.5 ,-1.1, 0.1
13071,448.2 ,422.3, 475.3,232,falling,-1.0 ,-1.6, -0.4
13127,447.1 ,429.2, 465.6,508,falling,-0.9 ,-1.4, -0.4
13147,447 ,415.7, 480.1,166,stable,-0.2 ,-0.9, 0.5
13051,446 ,435.5, 456.7,1431,stable,-0.2 ,-0.6, 0.1
13269,444.4 ,389.8, 505.1,51,stable,-0.3 ,-1.6, 1.1
13049,443.7 ,396.9, 494.9,67,stable,1.0 ,-0.4, 2.3
13243,443.3 ,382, 512.3,45,stable,0.4 ,-1.2, 2.0
13025,442.3 ,403.3, 484.3,101,rising,2.4 ,1.1, 3.7
13201,441.7 ,376.5, 515.7,36,stable,-0.3 ,-1.9, 1.3
13179,439.6 ,412.2, 468.4,212,stable,-0.5 ,-1.3, 0.4
13315,437.8 ,384.6, 496.9,50,stable,0.0 ,-1.2, 1.3
13005,434.8 ,384.6, 490,57,stable,-0.2 ,-1.7, 1.4
13265,434.2 ,329.3, 570.2,12,*,*,*,*
13043,433.2 ,384.4, 486.9,61,stable,0.3 ,-1.4, 2.0
13131,431.5 ,398.6, 466.6,135,falling,-1.1 ,-2.1, -0.1
13165,431.4 ,376.2, 492.8,46,stable,-0.8 ,-2.1, 0.5
13193,431.4 ,387.1, 479.7,75,falling,-1.2 ,-2.1, -0.2
13061,428.3 ,344.4, 529.5,21,stable,0.7 ,-2.3, 3.9
13099,425.4 ,376.8, 479,59,stable,0.7 ,-1.4, 2.8
13209,424.6 ,369.5, 486,46,stable,-0.8 ,-2.2, 0.7
13101,422.5 ,334.9, 526,17,stable,-1.0 ,-3.0, 1.1
13031,422.3 ,400, 445.6,282,stable,-0.3 ,-1.0, 0.4
13001,421.5 ,383.8, 462,98,stable,-0.5 ,-1.6, 0.6
13313,420.7 ,403.6, 438.3,467,falling,-1.1 ,-1.8, -0.4
13081,420.5 ,386.9, 456.4,125,stable,-0.4 ,-1.7, 0.9
13003,420.3 ,360.9, 486.8,37,stable,-0.7 ,-1.9, 0.6
13125,420.2 ,331, 527.7,16,*,*,*,*
13109,415.3 ,366.1, 469.6,53,stable,-0.9 ,-1.9, 0.2
13091,413.5 ,379.5, 449.9,113,stable,-0.9 ,-2.1, 0.3
13283,412.6 ,352.7, 480.4,36,stable,0.8 ,-0.4, 2.1
13073,412 ,397.5, 427,641,falling,-0.6 ,-1.1, -0.1
13191,410.4 ,371.3, 453.2,96,stable,-2.4 ,-10.2, 6.0
13141,409.5 ,360.1, 464.9,55,*,*,*,*
13161,409.3 ,366.5, 456,70,falling,-1.5 ,-2.6, -0.5
13235,401.7 ,357.3, 450.6,65,stable,-0.1 ,-1.5, 1.3
13267,401.4 ,368.7, 436.2,115,falling,-1.4 ,-2.3, -0.5
13037,393.1 ,332.2, 462.5,31,falling,-3.1 ,-4.9, -1.2
13007,390.8 ,314, 483.6,20,stable,0.5 ,-2.2, 3.2
13253,390.7 ,341, 446.3,50,stable,-0.9 ,-2.8, 1.0
13047,388.6 ,369.7, 408.4,328,stable,-0.9 ,-2.4, 0.7
13083,387 ,349.9, 427.3,85,stable,-1.1 ,-2.8, 0.6
13295,386.2 ,367.7, 405.3,350,stable,-1.3 ,-2.5, 0.0
13249,377.3 ,311.2, 454.1,24,stable,-0.8 ,-2.4, 0.9
13167,372.1 ,325.7, 423.8,49,stable,0.3 ,-1.3, 1.9
13307,358.5 ,280.5, 455.9,15,stable,0.0 ,-2.7, 2.7
13197,345.4 ,298.5, 398.3,42,falling,-2.0 ,-3.6, -0.3
13093,343.6 ,305.8, 385.1,65,falling,-1.7 ,-3.0, -0.4
13183,327.2 ,285.4, 373.3,50,falling,-1.5 ,-2.9, -0.2
13309,323.3 ,272.8, 381.1,30,stable,1.4 ,-1.1, 3.9
13271,320.6 ,286.7, 357.8,67,stable,-0.8 ,-1.7, 0.1
15000,415.5 ,411.1, 419.9,7393,falling,-0.2 ,-0.3, -0.1
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
15003,427.2 ,421.8, 432.6,5113,stable,-0.1 ,-0.2, 0.1
15009,410.6 ,397.9, 423.6,858,stable,0.0 ,-0.4, 0.3
15001,384.8 ,373.9, 396,1068,falling,-1.1 ,-1.6, -0.6
15007,363.6 ,346, 381.9,353,falling,-0.7 ,-1.2, -0.1
15005,* ,*, *,3 or fewer,*,*,*,*
19000,484.1 ,480.9, 487.3,18583,stable,-0.2 ,-0.3, 0.0
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
19147,661.3 ,594.5, 733.9,83,stable,0.8 ,0.0, 1.5
19033,571.6 ,543.9, 600.5,358,rising,0.6 ,0.3, 0.9
19137,556.9 ,501.1, 617.8,82,rising,0.6 ,0.2, 1.1
19159,544.2 ,469.4, 629,44,stable,0.7 ,-0.2, 1.6
19073,542.9 ,485.8, 605.6,74,rising,1.1 ,0.3, 2.0
19133,539.9 ,482.5, 603,76,stable,0.5 ,-0.1, 1.0
19063,536.2 ,479.6, 598.3,74,stable,0.4 ,-0.2, 1.0
19145,533.8 ,491, 579.9,126,rising,0.9 ,0.4, 1.4
19059,533.6 ,492.8, 577.4,151,stable,0.4 ,-0.1, 0.8
19069,533.5 ,478.5, 593.5,78,rising,1.1 ,0.6, 1.6
19003,530.5 ,440.6, 634.8,29,rising,1.5 ,0.7, 2.2
19083,529.2 ,487.2, 574.2,134,stable,0.2 ,-0.2, 0.7
19085,529.1 ,482.4, 579.5,103,stable,0.4 ,-0.2, 0.9
19067,528.4 ,484.8, 575.2,121,stable,0.3 ,-0.2, 0.9
19027,526.8 ,487.8, 568.3,151,stable,-5.8 ,-14.7, 3.9
19171,526.5 ,483.7, 572.3,124,stable,0.2 ,-0.2, 0.7
19025,524.4 ,468.3, 585.8,74,rising,0.8 ,0.3, 1.3
19029,523.8 ,477, 574.5,105,stable,0.5 ,0.0, 1.1
19177,520.6 ,458.2, 589.9,55,stable,0.3 ,-0.3, 0.9
19015,520.3 ,486, 556.6,184,stable,0.3 ,-0.2, 0.8
19053,520 ,455.4, 591.5,54,stable,0.5 ,-0.1, 1.0
19023,519.9 ,474.9, 568.3,112,stable,0.0 ,-0.4, 0.4
19129,518.4 ,472.8, 567.5,103,stable,0.0 ,-0.5, 0.6
19039,517.6 ,459.1, 581.7,62,stable,0.7 ,-0.1, 1.5
19057,516.9 ,489.4, 545.6,289,stable,0.3 ,-0.1, 0.7
19111,516.1 ,486.5, 547.2,249,rising,0.4 ,0.1, 0.7
19071,515.4 ,451.7, 586.5,55,stable,0.3 ,-0.2, 0.8
19135,514.5 ,454, 581.4,57,rising,0.6 ,0.2, 1.0
19179,513.1 ,483.3, 544.4,236,stable,0.3 ,0.0, 0.6
19055,510.7 ,468.4, 556.1,119,stable,0.5 ,-0.1, 1.0
19165,506.1 ,457.1, 559.4,91,rising,1.0 ,0.4, 1.5
19193,504 ,485.4, 523.2,579,stable,0.0 ,-0.3, 0.2
19097,501 ,462.1, 542.6,137,stable,0.3 ,-0.2, 0.8
19183,500.3 ,462.9, 540,145,rising,0.6 ,0.2, 1.1
19119,498.8 ,447.8, 554.3,75,stable,0.3 ,-0.2, 0.7
19113,497.1 ,484.7, 509.8,1272,stable,1.6 ,0.0, 3.1
19139,496.5 ,469, 525.2,258,stable,0.1 ,-0.2, 0.5
19013,496.1 ,479.9, 512.8,757,stable,-0.1 ,-0.3, 0.1
19007,495.6 ,450.2, 544.8,97,rising,5.9 ,0.2, 12.0
19045,495.2 ,470.2, 521.2,320,stable,-0.1 ,-0.4, 0.2
19093,493.5 ,430.1, 564.5,50,rising,0.8 ,0.1, 1.4
19061,493.5 ,475.3, 512.2,598,stable,-0.3 ,-0.5, 0.0
19091,493.1 ,439.6, 551.9,69,stable,0.0 ,-0.6, 0.5
19127,491.5 ,464, 520.4,256,stable,0.0 ,-0.3, 0.2
19087,491.2 ,452.4, 532.6,127,stable,0.3 ,-0.3, 0.8
19089,490.3 ,435, 551.3,64,stable,0.4 ,-0.3, 1.1
19143,490.2 ,424, 564.9,44,stable,0.4 ,-0.4, 1.3
19149,490.1 ,455.3, 527,161,stable,0.0 ,-0.3, 0.4
19163,488.6 ,474.8, 502.7,999,falling,-1.0 ,-1.8, -0.2
19155,488.2 ,469.9, 507,574,stable,-0.4 ,-1.0, 0.1
