fips,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
41027,423.1 ,388.2, 460.4,115,falling,-1.0 ,-1.8, -0.1
41049,422.2 ,373, 476.3,57,stable,-0.9 ,-2.6, 0.8
41061,421.8 ,390, 455.7,147,stable,-0.9 ,-1.9, 0.1
41067,416.1 ,408.7, 423.6,2509,falling,-0.7 ,-1.0, -0.4
41057,412.5 ,383, 443.9,175,stable,-0.8 ,-1.6, 0.0
41055,405 ,301.1, 539.8,12,stable,0.6 ,-3.5, 4.8
41037,400.2 ,350.2, 456.3,53,falling,-2.1 ,-3.7, -0.5
41015,390.6 ,360.9, 422.6,176,falling,-1.5 ,-2.7, -0.4
41003,385.3 ,367.5, 403.8,385,falling,-1.6 ,-2.4, -0.8
41039,377.5 ,369.4, 385.6,1830,falling,-1.9 ,-2.4, -1.4
41025,355.8 ,304.8, 413.9,41,falling,-2.5 ,-4.0, -1.0
41063,336.4 ,285.9, 394.6,41,stable,-2.0 ,-4.3, 0.4
41023,333.1 ,282.9, 390.8,41,stable,-1.4 ,-3.1, 0.3
41045,318.2 ,292.1, 346,115,stable,-1.6 ,-3.5, 0.4
41001,280.7 ,250.3, 314.2,73,falling,-2.4 ,-4.4, -0.3
42000,480 ,478.5, 481.5,79777,falling,-1.1 ,-1.5, -0.6
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
42093,556.5 ,514.6, 601.2,146,stable,0.6 ,-0.4, 1.5
42079,514.9 ,505.1, 524.9,2262,stable,0.1 ,-0.2, 0.4
42095,514.3 ,504.1, 524.7,2069,falling,-1.3 ,-2.0, -0.5
42047,513.5 ,482.8, 545.9,236,stable,0.2 ,-0.7, 1.1
42037,507.5 ,485.8, 530,448,stable,0.3 ,-0.3, 0.9
42125,507.1 ,495.2, 519.3,1496,stable,-0.1 ,-0.4, 0.2
42107,506.3 ,492.1, 520.9,1036,stable,0.1 ,-0.2, 0.4
42097,499.7 ,482.1, 517.7,670,stable,0.2 ,-0.1, 0.6
42045,498.4 ,490.7, 506.1,3431,stable,-2.8 ,-5.7, 0.3
42085,498.1 ,482.1, 514.5,819,stable,-0.4 ,-0.8, 0.0
42077,494.6 ,485.2, 504.1,2208,falling,-0.5 ,-1.0, -0.1
42073,492.1 ,474.1, 510.6,634,stable,-0.5 ,-1.1, 0.2
42101,492 ,487.2, 496.9,8227,falling,-2.5 ,-3.3, -1.6
42089,490.4 ,476.8, 504.3,1066,stable,-0.4 ,-0.9, 0.1
42081,490.2 ,473.9, 506.9,748,falling,-1.4 ,-2.7, -0.1
42017,489.3 ,482.4, 496.3,4139,falling,-0.6 ,-0.8, -0.3
42023,488.7 ,418.4, 569.8,41,stable,0.7 ,-1.0, 2.3
42019,488.6 ,475.9, 501.6,1217,falling,-1.2 ,-2.0, -0.5
42087,485.8 ,461.3, 511.3,324,stable,0.0 ,-0.8, 0.7
42003,484.4 ,479.4, 489.4,7911,falling,-1.2 ,-1.6, -0.8
42051,484.2 ,469.7, 499.1,928,falling,-0.6 ,-1.1, -0.2
42007,483.8 ,470.9, 497.1,1178,stable,-0.1 ,-0.5, 0.2
42117,483.6 ,457.9, 510.4,293,stable,-0.5 ,-1.3, 0.4
42129,483.1 ,474.4, 492,2601,stable,-0.3 ,-0.6, 0.1
42121,481.8 ,458.8, 505.7,377,stable,-0.3 ,-0.8, 0.3
42021,480 ,465.7, 494.6,966,falling,-0.6 ,-1.1, -0.2
42039,479.9 ,461.7, 498.6,578,stable,-0.6 ,-1.4, 0.1
